username, created_at, lng, lat, text
1MarkrC1, Thu Jun 11 10:08:12 +0000 2020, -83.504201, 42.655529, @ajortiz3 After 9:00 am is early. I would wait tell at least 10:00 am 
WhadHeSay85, Thu Jun 11 10:08:12 +0000 2020, -95.446486, 29.838495, I'm not scared of isis  or muslims "taking my rights" it's white Republicans that are doing that. I will no longer… https://t.co/HgI7lIiH1n 
AhmedJa38358096, Thu Jun 11 10:08:13 +0000 2020, -79.913521, 43.260695, @reggcohn مرحباً ياسيادة اريس المحترم انا عندي قظيه حادث سيارة من       سنه 2018 شهر ثاني ولم يبث القظاء انتاريو ف… https://t.co/Xp9Uzt0Wco 
AllArtill, Thu Jun 11 10:08:14 +0000 2020, -83.804475, 27.698682, One more week in Florida thank god 🙏 
ChefBargas, Thu Jun 11 10:08:14 +0000 2020, -95.377814, 30.063515, @antonioizsick Roller king 
_xLoveeDaaj, Thu Jun 11 10:08:14 +0000 2020, -84.021770, 43.414849, I’m finna take this wig right off when I get In the car 😭 
GotYoMoufWatery, Thu Jun 11 10:08:14 +0000 2020, -87.967292, 43.056722, 🍑💦👅 
marvin_hill123, Thu Jun 11 10:08:14 +0000 2020, -82.306723, 27.827367, @Julie82902847 @Philippower15 @ruxcytbl @Birdseye1 @PPPTCE @Pippi49er @xXGeJaMoXx @McginnKeven @CuDonegal… https://t.co/x0oEUWUFrG 
RobertAbruzzes3, Thu Jun 11 10:08:14 +0000 2020, -82.665911, 28.300058, @CuomoPrimeTime @ChrisCuomo https://t.co/5Te69GSYJA 
anthony88873, Thu Jun 11 10:08:15 +0000 2020, -100.076888, 31.168893, Damn it I miss doin shit 
IMKYLO4xs, Thu Jun 11 10:08:15 +0000 2020, -83.173867, 32.678207, Keep yo head up 🙏🏽 
RonSmileyWx, Thu Jun 11 10:08:15 +0000 2020, -80.092364, 40.388596, @GrumpPittsburgh You know I was seeing Beaver county but did totally say Butler. 
Slavic_Simo, Thu Jun 11 10:08:15 +0000 2020, -115.223125, 36.232915, need me a girl who gon ruin my perception of love 
XaocMupa, Thu Jun 11 10:08:15 +0000 2020, -73.584266, 40.648987, @KotNavigator @WolfCrimean @3i8T6nxKBnFOfH9 @epaminonthebes @dw_russian Ты не отвлекайся, пиши экспертное мнение из Зажописка, держи в курсе 
JohnCutler, Thu Jun 11 10:08:15 +0000 2020, -83.291486, 42.399026, @ryantomorrow @Ford @jimfarley98 It belongs in @thehenryford 
M_Iavecchia, Thu Jun 11 10:08:16 +0000 2020, -79.420865, 38.003376, @washingtonpost Yeah it’s like he is burning cities and tearing down statues. 
Tyrone556, Thu Jun 11 10:08:16 +0000 2020, -93.197723, 30.202771, @barbieenycc You’re* 
sallyga34210669, Thu Jun 11 10:08:16 +0000 2020, -84.849308, 37.773123, @cobaltfairy82 @SamHeughan That’s what I have been told lol! I’m usually not into action movies but because… https://t.co/9ApiJOCBiK 
ClaudioPavanini, Thu Jun 11 10:08:17 +0000 2020, -75.364509, 39.771987, @folha "Os fascistas do futuro se chamarão de Anti fascistas "Essa frase nunca foi tão verdadeira como nos dias de hoje 
ClayandSam, Thu Jun 11 10:08:17 +0000 2020, -79.861034, 35.170499, Benzodiazepines are used to treat anxiety. Who doesn't have a bit of anxiety these days?! Which is all the more rea… https://t.co/4yPFVRPITf 
naiahat, Thu Jun 11 10:08:17 +0000 2020, -157.975829, 21.344749, Wish the rail was for inter island travel but faka only goes to town? 
IsaiahAbimbolaG, Thu Jun 11 10:08:17 +0000 2020, -80.546916, 43.482152, @Sora_Sakuraii https://t.co/IL7uw0NBAw 
